ID,Name,spacegroup,a,b,c,alpha,beta,gamma,volume,volume/atom,band_gap,density,e_above_hull,e_above_hull/atom,efermi,energy,energy/atom,final_energy_per_atom,formation_energy_per_atom,nelements,nsites
mp-571222,CsBr,225,5.234073690807381,5.234073690807381,5.234073690807381,60.00000000000001,60.00000000000001,60.00000000000001,101.39218929121083,50.69609464560541,4.4247,3.485262633068681,0.0,0.0,-1.64292696,-6.10412726,-3.05206363,-3.05206363,-1.7858991739655175,2,2
mp-573697,CsCl,225,4.993597988234335,4.993597988234335,4.993597988234335,59.99999999999999,59.99999999999999,59.99999999999999,88.04926423740011,44.024632118700055,5.0172,3.1751064474369297,0.0,0.0,-1.57273283,-6.63983494,-3.31991747,-3.31991747,-2.2452907955955173,2,2
mp-614603,CsI,225,5.557278058352128,5.557278058352128,5.557278058352128,59.99999999999999,59.99999999999999,59.99999999999999,121.35883085961832,60.67941542980916,3.8556,3.554949583391213,0.0,0.0,-0.75546412,-5.51127789,-2.755638945,-2.755638945,-1.545933226465517,2,2
mp-632319,CsH,221,3.858608,3.858608,3.858608,90.0,90.0,90.0,57.45025770585188,28.72512885292594,2.9646,3.870625262107667,0.05196390000000006,0.02598195000000003,0.53899809,-4.45037664,-2.22518832,-2.22518832,-0.15761880327551703,2,2
mp-684580,AgI,119,4.655598916823592,4.655598916823592,4.655598916823592,118.09274768037987,118.09274768037987,93.33647444412567,73.27548446624623,36.63774223312311,1.9047,5.320322248904008,0.0016373249999999118,0.0008186624999999559,1.36285649,-4.91450528,-2.45725264,-2.45725264,-0.27898357916666683,2,2
mp-708,LaAs,225,4.381519287371448,4.381519287371448,4.381519287371448,60.00000000000001,60.00000000000001,60.00000000000001,59.478387438529246,29.739193719264623,0.04139999999999944,5.969701239775118,0.0,0.0,5.87039302,-12.72249617,-6.361248085,-6.361248085,-1.5639905024999994,2,2
mp-749,SmN,225,3.5880210280866525,3.5880210280866525,3.5880210280866525,60.00000000000001,60.00000000000001,60.00000000000001,32.66253898022407,16.331269490112035,0.021500000000000075,8.35628016436124,0.0,0.0,3.47253505,-16.00816156,-8.00408078,-8.00408078,-1.6690034478566673,2,2
mp-830,GaN,216,3.2142076139988216,3.2142076139988216,3.2142076139988216,60.00000000000001,60.00000000000001,60.00000000000001,23.48046962203921,11.740234811019604,1.9046000000000003,5.921365293060229,0.005313117500000075,0.0026565587500000376,3.39366987,-12.30659845,-6.153299225,-6.153299225,-0.6630181711899992,2,2
mp-866291,AgBr,216,4.475783692371427,4.475783692371427,4.475783692371427,60.00000000000001,60.00000000000001,60.00000000000001,63.40043985927066,31.70021992963533,1.1708,4.917995433683658,0.0,0.0,-0.3099247,-5.20411555,-2.602057775,-2.602057775,-0.3673299766666669,2,2
mp-938,GeTe,160,4.375164341799403,4.375164341799403,4.375163855373762,57.82672843827318,57.82672843827318,57.82672218395058,56.264958374993846,28.132479187496923,0.8215000000000003,5.9096523360046005,0.0,0.0,5.39520466,-7.95077254,-3.97538627,-3.97538627,-0.09497999000000013,2,2
mp-998899,YN,187,3.3656043783851066,3.3656043783851066,3.063359,90.0,90.0,120.00000743811628,30.050702054637487,15.025351027318743,0.010299999999999976,5.686732689563026,0.47122427000000044,0.23561213500000022,4.62665357,-17.23420954,-8.61710477,-8.61710477,-1.407831347856666,2,2
