,ID,pf_log,var:boiling_point,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:num_unfilled,min:electron_affinity,min:lattice_constant
168,mp-23167,0.247723578,556068.49,4.0,0.0,0.0,5,0.377,3.46
169,mp-22925,3.937345734,1027689.063,0.25,0.25,0.25,1,1.302,4.09
170,mp-22922,6.38662486,1261578.24,0.25,0.25,0.25,1,1.302,4.09
171,mp-22906,6.23764007,96007.0225,0.25,0.25,0.25,1,0.471626,6.05
172,mp-22903,5.499043127,63378.0625,0.25,0.25,0.25,1,0.48592,5.59
173,mp-22899,5.92704385,109114.6056,0.25,0.25,0.25,1,0.618049,3.49
174,mp-22875,0.821519798,488670.9025,4.0,0.0,0.0,5,0.377,3.46
175,mp-22867,4.43344856,98941.7025,0.25,0.25,0.25,1,0.48592,5.59
176,mp-22865,5.752791686,127092.25,0.25,0.25,0.25,1,0.471626,6.05
177,mp-2175,-0.473798539,676498.025,4.0,0.0,0.0,5,0.377,3.46
178,mp-2114,-3.860633864,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
179,mp-20411,5.140433904,1294588.84,1.0,0.0,0.0,5,-1.4,4.039
180,mp-20351,5.530612502,810000.0,1.0,0.0,0.0,5,0.3,4.59
181,mp-20305,4.976468322,545382.25,1.0,0.0,0.0,5,0.3,4.13
182,mp-18536,0.383462976,1079991.0,0.1875,0.1875,0.1875,1,1.302,4.09
183,mp-1784,6.367418215,187744.557,0.25,0.25,0.25,1,0.471626,5.631000059
184,mp-13099,1.845297454,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
185,mp-1219182,5.515724907,56406.25,0.0,0.0,0.0,4,1.232712,5.43
186,mp-1172873,6.098988776,846400.0,1.0,0.0,0.0,4,1.232712,4.45
187,mp-1156,3.482081561,147456.0,1.0,0.0,0.0,5,0.43,4.51
188,mp-1138,2.022804633,266844.5649,0.25,0.25,0.25,1,0.618049,3.49
189,mp-10759,4.425002885,1150149.003,1.0,0.0,0.0,4,1.232712,4.36
190,mp-1057286,3.571202579,216839.2356,0.0,0.0,0.0,1,0.471626,3.75
191,mp-1056920,3.892556428,61033.7025,0.25,0.25,0.25,1,0.471626,6.05
