,descriptor_name,pearson_correlation,pearson_pvalue,pearson_selection,spearman_correlation,spearman_pvalue,spearman_selection,distance_correlation,distance_selection,mic_correlation,mic_selection,sum_1,sum_2,sum_3,sum_4,sum
23,ave:atomic_weight,0.022677104395040042,0.6503204834592922,0,-0.048673614899321066,0.3303341016704998,0,0.23487813347943556,0,0.5815330186536479,1,1,0,0,0,1
24,ave:boiling_point,0.006223228566991592,0.9010080662729913,0,-0.05786001653454512,0.24708970881419512,0,0.18559628451305313,0,0.5590778545507957,1,1,0,0,0,1
25,ave:bulk_modulus,-0.04623114865600083,0.3552053992411956,0,-0.02106569839651048,0.6736839148112129,0,0.21029868143028982,0,0.5483694970173794,1,1,0,0,0,1
26,ave:c6_gb,0.11357937288727862,0.02275383427492686,0,0.11595184327615723,0.020048620634629002,0,0.19518906858612917,0,0.49015306266541114,1,1,0,0,0,1
27,ave:covalent_radius_cordero,0.15281443786814908,0.002123138201783772,0,0.08206411556805006,0.10037690939277821,0,0.2276511408655178,0,0.37306121930870106,1,1,0,0,0,1
28,ave:covalent_radius_pyykko,0.1653954610644925,0.0008722197942098384,0,0.15599521464744745,0.0017058039780560922,0,0.255764010150702,0,0.4696546676502653,1,1,0,0,0,1
29,ave:covalent_radius_pyykko_double,0.19067336280694902,0.00011985106310370759,1,0.21520354254419274,1.346036428157436e-05,0,0.2980326072867254,0,0.5110757191721922,1,1,1,0,0,2
30,ave:covalent_radius_pyykko_triple,0.15421138511570265,0.0019295322804457867,0,0.12483194241866834,0.012249151792023487,0,0.2854062111670425,0,0.5555351499936082,1,1,0,0,0,1
31,ave:covalent_radius_slater,0.13089448575040039,0.008599766677215116,0,0.08424363330059713,0.09163803966829238,0,0.20766285862692174,0,0.3794945842978357,1,1,0,0,0,1
32,ave:density,-0.023911492953762135,0.6326506250143158,0,-0.15387793666870528,0.0019742186131681883,0,0.19013341095241473,0,0.4886880854432221,1,1,0,0,0,1
33,ave:dipole_polarizability,0.13992763036106104,0.004944241720945425,0,0.15352499015051022,0.002022547307142724,0,0.2332325976722042,0,0.5151330756675709,1,1,0,0,0,1
34,ave:electron_negativity,-0.12902661537207638,0.009604467432179006,0,-0.2111280555816517,1.97118904539212e-05,0,0.27351551649922834,0,0.5147935943601458,1,1,0,0,0,1
35,ave:electron_affinity,0.1810760580295689,0.00026278075645450516,1,0.18999373009877343,0.00012686577439879293,0,0.22278215024578094,0,0.47730765316201623,1,1,1,0,0,2
36,ave:en_allen,-0.17180403951555545,0.000540793138202098,1,-0.2580367895897178,1.5491232727966487e-07,0,0.32885271323594256,1,0.5795003340653243,1,1,1,1,0,3
37,ave:en_pauling,-0.14211180074952928,0.004304176470369529,0,-0.24448561277291775,6.971362328907992e-07,0,0.2937516480559501,0,0.46997433836220837,1,1,0,0,0,1
38,ave:first_ion_en,-0.15735645464882106,0.0015513527848934334,0,-0.24729495748805,5.140160136715085e-07,0,0.29333405728600076,0,0.47784200556593825,1,1,0,0,0,1
39,ave:fusion_enthalpy,0.0876791958583768,0.07911040336005423,0,0.16522177257171541,0.000883385408983187,0,0.20922579247944698,0,0.4721850792314026,1,1,0,0,0,1
40,ave:gs_bandgap,-0.1537129851943289,0.0019966723023644765,0,-0.17713480627931713,0.0003586980902795461,0,0.23592462035641162,0,0.19952020738971887,1,1,0,0,0,1
41,ave:gs_energy,0.11201263139447579,0.024708802766296705,0,0.14611508102045692,0.003322067798633869,0,0.24413655097416156,0,0.5510064967793256,1,1,0,0,0,1
42,ave:gs_est_bcc_latcnt,0.14185659884608304,0.004374890678321081,0,0.1350994092522485,0.006672797522854302,0,0.26993491736614417,0,0.4917001906541762,1,1,0,0,0,1
43,ave:gs_est_fcc_latcnt,0.14185659883893592,0.0043748906803161075,0,0.1350994092522485,0.006672797522854302,0,0.26993491735862873,0,0.4917001906541762,1,1,0,0,0,1
44,ave:gs_volume_per,0.14890752127681128,0.0027625610039406228,0,0.119900753427936,0.01616363835421409,0,0.2659411840206319,0,0.5030919442562783,1,1,0,0,0,1
