,elem1,elem2,elem3,elem4,comp1,comp2,comp3,comp4,melt_point
975,K,Ba,Bi,O,11.11111111111111,44.44444444444444,33.33333333333333,11.11111111111111,1305.0926513671875
976,Sb,P,Cl,O,9.090909090909092,9.090909090909092,72.72727272727273,9.090909090909092,401.984375
977,Cr,B,Br,O,12.5,29.166666666666668,4.166666666666666,54.166666666666664,671.2269287109375
978,K,Li,Bi,O,7.142857142857142,42.857142857142854,7.142857142857142,42.857142857142854,1091.6317138671875
979,Ta,Bi,Cl,O,7.142857142857142,28.57142857142857,7.142857142857142,57.14285714285714,1334.3568115234375
980,Nb,Bi,Cl,O,7.142857142857142,28.57142857142857,7.142857142857142,57.14285714285714,1291.732177734375
981,Cd,P,Cl,O,23.809523809523807,14.285714285714285,4.761904761904762,57.14285714285714,1269.4517822265625
982,Hg,As,Cl,O,33.33333333333333,11.11111111111111,11.11111111111111,44.44444444444444,656.9660034179688
983,Mn,H,O,Vac,20.0,40.0,40.0,0.0,356.9229431152344
984,Hg,H,O,F,25.0,25.0,25.0,25.0,355.10870361328125
985,Cd,H,Cl,O,22.22222222222222,33.33333333333333,11.11111111111111,33.33333333333333,430.1449279785156
986,Hg,H,Cl,O,14.285714285714285,14.285714285714285,14.285714285714285,57.14285714285714,391.86517333984375
987,Mn,P,O,Vac,7.6923076923076925,23.076923076923077,69.23076923076923,0.0,1367.2047119140625
988,V,P,O,Vac,14.285714285714285,14.285714285714285,71.42857142857143,0.0,895.0289916992188
989,V,O,Vac,Vac,28.57142857142857,71.42857142857143,0.0,0.0,883.81591796875
990,V,O,Vac,Vac,28.57142857142857,71.42857142857143,0.0,0.0,883.81591796875
991,Y,Ti,S,O,18.181818181818183,18.181818181818183,18.181818181818183,45.45454545454545,1575.592041015625
992,Mn,Cl,O,Vac,38.095238095238095,14.285714285714285,47.61904761904761,0.0,595.4210205078125
993,V,P,O,Vac,7.6923076923076925,23.076923076923077,69.23076923076923,0.0,996.33984375
994,Mo,P,O,Vac,14.285714285714285,14.285714285714285,71.42857142857143,0.0,945.8375244140625
995,K,O,Vac,Vac,50.0,50.0,0.0,0.0,816.61962890625
996,V,P,O,Vac,5.88235294117647,23.52941176470588,70.58823529411765,0.0,1128.8768310546875
997,Li,V,P,O,12.5,12.5,12.5,62.5,929.9603881835938
998,Mn,P,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,1440.2122802734375
999,Li,Co,P,O,5.555555555555555,5.555555555555555,22.22222222222222,66.66666666666666,1086.134521484375
1000,Co,P,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,1515.981689453125
1001,In,O,F,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,635.4210205078125
1002,Tl,Sb,O,Vac,45.45454545454545,9.090909090909092,45.45454545454545,0.0,788.68701171875
1003,Li,Ag,O,Vac,16.666666666666664,50.0,33.33333333333333,0.0,1119.1395263671875
1004,Tl,Si,O,Vac,40.0,13.333333333333334,46.666666666666664,0.0,875.0176391601562
1005,Bi,Te,O,Vac,22.22222222222222,11.11111111111111,66.66666666666666,0.0,928.5064086914062
1006,Au,O,Vac,Vac,40.0,60.0,0.0,0.0,1165.093017578125
1007,Ba,Te,O,Vac,11.11111111111111,22.22222222222222,66.66666666666666,0.0,1277.72509765625
1008,Au,Cl,O,Vac,33.33333333333333,33.33333333333333,33.33333333333333,0.0,397.644775390625
1009,Tl,Ge,O,Vac,29.629629629629626,18.51851851851852,51.85185185185185,0.0,956.13134765625
1010,V,Zn,O,Vac,25.0,8.333333333333332,66.66666666666666,0.0,1141.7471923828125
1011,Ba,Ag,O,Vac,9.090909090909092,54.54545454545454,36.36363636363637,0.0,1294.3292236328125
1012,Na,Ag,O,Vac,16.666666666666664,50.0,33.33333333333333,0.0,1020.3269653320312
1013,Sr,Ag,O,Vac,9.090909090909092,54.54545454545454,36.36363636363637,0.0,1337.3043212890625
1014,Ag,I,O,Vac,20.0,20.0,60.0,0.0,482.1903991699219
1015,Na,I,O,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,784.9188842773438
1016,Tc,O,F,Vac,16.666666666666664,16.666666666666664,66.66666666666666,0.0,334.30047607421875
1017,Li,Tl,O,Vac,50.0,10.0,40.0,0.0,964.7951049804688
1018,Tl,O,Vac,Vac,66.66666666666666,33.33333333333333,0.0,0.0,823.335693359375
1019,Na,Te,O,Vac,28.57142857142857,14.285714285714285,57.14285714285714,0.0,754.6527099609375
1020,La,Re,O,Vac,25.0,12.5,62.5,0.0,1127.1502685546875
1021,Na,Cd,O,Vac,56.00000000000001,8.0,36.0,0.0,848.4186401367188
1022,Na,Pd,O,Vac,22.22222222222222,33.33333333333333,44.44444444444444,0.0,1016.7294311523438
1023,Rb,In,O,Vac,15.384615384615385,30.76923076923077,53.84615384615385,0.0,1457.5977783203125
1024,Na,Mn,O,Vac,56.00000000000001,8.0,36.0,0.0,1201.412109375
1025,Be,Te,O,Vac,33.33333333333333,8.333333333333332,58.333333333333336,0.0,1218.2288818359375
1026,Na,Pb,O,Vac,40.0,20.0,40.0,0.0,952.2681274414062
